DATE,Sales
2/1/1970,42.5578
3/1/1970,41.6215
4/1/1970,40.1982
5/1/1970,39.9321
6/1/1970,41.1847
7/1/1970,43.223
8/1/1970,44.8139
9/1/1970,43.6007
10/1/1970,40.5467
11/1/1970,40.9385
12/1/1970,42.1117
1/1/1971,44.9517
2/1/1971,44.3696
3/1/1971,42.7548
4/1/1971,41.4234
5/1/1971,40.8295
6/1/1971,43.5488
7/1/1971,45.1876
8/1/1971,46.1091
9/1/1971,45.505
10/1/1971,43.9496
11/1/1971,44.003
12/1/1971,45.6054
1/1/1972,48.8393
2/1/1972,50.0191
3/1/1972,47.8421
4/1/1972,44.5127
5/1/1972,42.1062
6/1/1972,43.8217
7/1/1972,45.3964
8/1/1972,47.9892
9/1/1972,46.8293
10/1/1972,44.6882
11/1/1972,47.1979
12/1/1972,52.176
1/1/1973,55.9342
2/1/1973,53.9974
3/1/1973,50.5102
4/1/1973,46.8192
5/1/1973,44.9289
6/1/1973,47.4589
7/1/1973,49.3168
8/1/1973,51.091
9/1/1973,50.0826
10/1/1973,47.0794
11/1/1973,47.8829
12/1/1973,49.7968
1/1/1974,53.8212
2/1/1974,51.6563
3/1/1974,49.7985
4/1/1974,46.8319
5/1/1974,45.4161
6/1/1974,47.1087
7/1/1974,50.7056
8/1/1974,51.7371
9/1/1974,48.6742
10/1/1974,47.1172
11/1/1974,47.7516
12/1/1974,52.9379
1/1/1975,55.6989
2/1/1975,54.4115
3/1/1975,52.1395
4/1/1975,49.3369
5/1/1975,46.1066
6/1/1975,47.3769
7/1/1975,50.5251
8/1/1975,52.2585
9/1/1975,49.432
10/1/1975,46.7476
11/1/1975,47.7981
12/1/1975,54.4112
1/1/1976,60.6121
2/1/1976,56.9337
3/1/1976,52.9187
4/1/1976,48.7185
5/1/1976,46.6811
6/1/1976,49.2486
7/1/1976,52.022
8/1/1976,53.3791
9/1/1976,51.1013
10/1/1976,49.1373
11/1/1976,53.2579
12/1/1976,60.8207
1/1/1977,66.1065
2/1/1977,61.3553
3/1/1977,54.9875
4/1/1977,50.5114
5/1/1977,49.3162
6/1/1977,52.3147
7/1/1977,55.7601
8/1/1977,55.929
9/1/1977,53.2255
10/1/1977,50.7423
11/1/1977,51.8983
12/1/1977,59.5842
1/1/1978,65.4681
2/1/1978,64.4632
3/1/1978,58.7322
4/1/1978,51.4137
5/1/1978,49.9912
6/1/1978,53.1982
7/1/1978,55.5156
8/1/1978,57.5132
9/1/1978,55.0594
10/1/1978,52.1993
11/1/1978,54.0541
12/1/1978,60.7576
1/1/1979,68.7075
2/1/1979,68.1212
3/1/1979,61.374
4/1/1979,55.2722
5/1/1979,51.4048
6/1/1979,53.2473
7/1/1979,55.4418
8/1/1979,57.6476
9/1/1979,54.2322
10/1/1979,52.7558
11/1/1979,54.6456
12/1/1979,60.0874
1/1/1980,65.381
2/1/1980,64.7721
3/1/1980,60.8807
4/1/1980,53.1114
5/1/1980,49.7992
6/1/1980,52.4268
7/1/1980,58.5254
8/1/1980,60.4105
9/1/1980,57.738
10/1/1980,54.7637
11/1/1980,56.4616
12/1/1980,63.4413
1/1/1981,69.2715
2/1/1981,63.6341
3/1/1981,60.1027
4/1/1981,54.1446
5/1/1981,52.2484
6/1/1981,56.4915
7/1/1981,60.622
8/1/1981,60.6506
9/1/1981,56.3729
10/1/1981,54.6841
11/1/1981,55.7249
12/1/1981,63.4345
1/1/1982,70.6727
2/1/1982,64.2728
3/1/1982,59.7759
4/1/1982,54.109
5/1/1982,49.8577
6/1/1982,52.7065
7/1/1982,56.6437
8/1/1982,57.1923
9/1/1982,54
10/1/1982,51.7022
11/1/1982,54.0655
12/1/1982,58.7664
1/1/1983,65.9628
2/1/1983,59.162
3/1/1983,57.314
4/1/1983,52.9718
5/1/1983,49.1707
6/1/1983,51.7103
7/1/1983,57.9314
8/1/1983,61.588
9/1/1983,57.8078
10/1/1983,53.7753
11/1/1983,55.798
12/1/1983,65.6301
1/1/1984,73.2688
2/1/1984,66.2545
3/1/1984,63.2801
4/1/1984,57.4501
5/1/1984,55.1499
6/1/1984,57.9273
7/1/1984,60.6775
8/1/1984,62.3596
9/1/1984,58.0827
10/1/1984,54.7212
11/1/1984,57.1673
12/1/1984,63.3492
1/1/1985,72.6803
2/1/1985,70.8479
3/1/1985,62.6166
4/1/1985,57.6106
5/1/1985,55.4467
6/1/1985,58.2228
7/1/1985,62.7591
8/1/1985,63.3921
9/1/1985,60.7507
10/1/1985,56.4553
11/1/1985,58.1385
12/1/1985,68.8758
1/1/1986,73.4956
2/1/1986,68.1637
3/1/1986,62.3923
4/1/1986,57.1915
5/1/1986,55.9599
6/1/1986,60.0336
7/1/1986,65.9077
8/1/1986,64.645
9/1/1986,61.1742
10/1/1986,57.6978
11/1/1986,59.4964
12/1/1986,68.3302
1/1/1987,74.0173
2/1/1987,70.254
3/1/1987,65.7966
4/1/1987,60.3229
5/1/1987,59.0245
6/1/1987,64.0345
7/1/1987,69.0282
8/1/1987,70.2369
9/1/1987,64.2987
10/1/1987,60.5402
11/1/1987,62.6219
12/1/1987,70.7671
1/1/1988,80.0833
2/1/1988,76.3631
3/1/1988,70.4954
4/1/1988,63.4244
5/1/1988,61.5776
6/1/1988,67.2741
7/1/1988,73.1676
8/1/1988,75.9479
9/1/1988,67.7223
10/1/1988,63.4592
11/1/1988,65.2706
12/1/1988,74.0492
1/1/1989,78.1368
2/1/1989,76.8499
3/1/1989,73.5377
4/1/1989,65.2676
5/1/1989,63.8617
6/1/1989,68.6587
7/1/1989,74.2491
8/1/1989,75.2704
9/1/1989,69.5107
10/1/1989,66.062
11/1/1989,69.2555
12/1/1989,84.404
1/1/1990,84.6447
2/1/1990,77.4221
3/1/1990,73.4205
4/1/1990,67.4636
5/1/1990,66.0145
6/1/1990,71.6535
7/1/1990,76.8376
8/1/1990,77.3265
9/1/1990,73.277
10/1/1990,67.6237
11/1/1990,68.7675
12/1/1990,77.9179
1/1/1991,86.2914
2/1/1991,77.8027
3/1/1991,73.6061
4/1/1991,67.3549
5/1/1991,69.0228
6/1/1991,75.0839
7/1/1991,80.3488
8/1/1991,79.4052
9/1/1991,73.8126
10/1/1991,68.9572
11/1/1991,72.7156
12/1/1991,79.7391
1/1/1992,85.556
2/1/1992,80.4178
3/1/1992,74.739
4/1/1992,69.8367
5/1/1992,67.3781
6/1/1992,71.4197
7/1/1992,77.7263
8/1/1992,76.7791
9/1/1992,72.5681
10/1/1992,69.2363
11/1/1992,73.7175
12/1/1992,84.7818
1/1/1993,88.2287
2/1/1993,84.7919
3/1/1993,79.6885
4/1/1993,71.2731
5/1/1993,67.9111
6/1/1993,74.5503
7/1/1993,82.3366
8/1/1993,82.2906
9/1/1993,74.8323
10/1/1993,69.8758
11/1/1993,74.6278
12/1/1993,84.4669
1/1/1994,94.4017
2/1/1994,87.4053
3/1/1994,79.4751
4/1/1994,71.1817
5/1/1994,69.5934
6/1/1994,78.1988
7/1/1994,83.5287
8/1/1994,82.1321
9/1/1994,75.9181
10/1/1994,71.4802
11/1/1994,75.4754
12/1/1994,85.0772
1/1/1995,92.7412
2/1/1995,87.667
3/1/1995,81.5205
4/1/1995,74.0457
5/1/1995,73.5003
6/1/1995,78.5503
7/1/1995,86.2425
8/1/1995,89.8063
9/1/1995,78.7442
10/1/1995,73.9353
11/1/1995,79.8903
12/1/1995,91.0933
1/1/1996,99.2688
2/1/1996,93.1691
3/1/1996,87.2075
4/1/1996,77.4715
5/1/1996,76.9337
6/1/1996,82.1958
7/1/1996,86.2321
8/1/1996,86.824
9/1/1996,79.4425
10/1/1996,74.911
11/1/1996,81.3
12/1/1996,90.753
1/1/1997,98.7482
2/1/1997,90.0486
3/1/1997,83.2671
4/1/1997,76.3793
5/1/1997,74.0777
6/1/1997,80.0138
7/1/1997,88.7168
8/1/1997,88.0487
9/1/1997,82.1801
10/1/1997,77.7266
11/1/1997,82.2802
12/1/1997,92.3623
1/1/1998,95.0701
2/1/1998,88.0838
3/1/1998,86.8125
4/1/1998,76.9828
5/1/1998,78.2652
6/1/1998,86.7123
7/1/1998,94.1078
8/1/1998,93.7954
9/1/1998,87.7915
10/1/1998,80.3296
11/1/1998,81.6742
12/1/1998,91.9551
1/1/1999,102.4467
2/1/1999,91.4671
3/1/1999,91.0236
4/1/1999,80.7497
5/1/1999,79.6373
6/1/1999,88.1204
7/1/1999,97.7757
8/1/1999,96.7014
9/1/1999,87.4885
10/1/1999,80.8647
11/1/1999,82.4395
12/1/1999,94.7746
1/1/2000,102.4971
2/1/2000,94.5218
3/1/2000,88.3463
4/1/2000,81.6662
5/1/2000,84.7235
6/1/2000,91.3293
7/1/2000,96.3011
8/1/2000,99.6734
9/1/2000,90.9515
10/1/2000,83.378
11/1/2000,88.2458
12/1/2000,102.6901
1/1/2001,109.3416
2/1/2001,97.3953
3/1/2001,93.0564
4/1/2001,83.1332
5/1/2001,82.7827
6/1/2001,90.6648
7/1/2001,96.3283
8/1/2001,99.8132
9/1/2001,88.5136
10/1/2001,82.9006
11/1/2001,83.1461
12/1/2001,93.2796
1/1/2002,103.2604
2/1/2002,95.4593
3/1/2002,93.51
4/1/2002,86.0517
5/1/2002,85.5043
6/1/2002,93.4856
7/1/2002,102.6936
8/1/2002,101.9121
9/1/2002,93.5608
10/1/2002,87.1293
11/1/2002,88.8047
12/1/2002,101.0439
1/1/2003,110.4292
2/1/2003,104.0828
3/1/2003,94.8015
4/1/2003,85.3124
5/1/2003,85.7418
6/1/2003,91.3695
7/1/2003,102.5243
8/1/2003,104.7716
9/1/2003,93.1841
10/1/2003,86.7534
11/1/2003,88.828
12/1/2003,103.8162
1/1/2004,113.996
2/1/2004,106.4378
3/1/2004,95.6626
4/1/2004,86.9849
5/1/2004,89.324
6/1/2004,95.8104
7/1/2004,102.1007
8/1/2004,100.4992
9/1/2004,94.2998
10/1/2004,87.7732
11/1/2004,89.8297
12/1/2004,105.9787
1/1/2005,111.4496
2/1/2005,101.9498
3/1/2005,99.2324
4/1/2005,86.6793
5/1/2005,87.3784
6/1/2005,99.7382
7/1/2005,108.8005
8/1/2005,109.9901
9/1/2005,99.5563
10/1/2005,90.1695
11/1/2005,90.6297
12/1/2005,108.4977
1/1/2006,104.8128
2/1/2006,101.631
3/1/2006,98.6932
4/1/2006,87.7034
5/1/2006,90.2388
6/1/2006,100.7836
7/1/2006,111.3696
8/1/2006,111.9898
9/1/2006,96.1212
10/1/2006,90.6869
11/1/2006,92.5922
12/1/2006,103.3658
1/1/2007,112.3854
2/1/2007,112.1298
3/1/2007,99.469
4/1/2007,91.045
5/1/2007,92.3001
6/1/2007,101.2636
7/1/2007,107.9356
8/1/2007,114.5031
9/1/2007,101.8592
10/1/2007,93.282
11/1/2007,94.1475
12/1/2007,107.0407
1/1/2008,115.1666
2/1/2008,108.519
3/1/2008,100.7093
4/1/2008,91.2094
5/1/2008,91.4431
6/1/2008,104.1756
7/1/2008,111.08
8/1/2008,107.8943
9/1/2008,98.0097
10/1/2008,91.2397
11/1/2008,94.0321
12/1/2008,109.6583
1/1/2009,117.1041
2/1/2009,104.6585
3/1/2009,98.0044
4/1/2009,88.3217
5/1/2009,87.7293
6/1/2009,97.5535
7/1/2009,104.1673
8/1/2009,106.0048
9/1/2009,95.0942
10/1/2009,89.3811
11/1/2009,89.4576
12/1/2009,110.8777
1/1/2010,119.2473
2/1/2010,110.7525
